,event,key,rt
0,instructions_0,space,17.1538038254
1,instructions_1,space,3.5210518837
2,instructions_2,space,27.0965900421
3,instructions_3,space,21.4070320129
4,instructions_4,space,46.9846730232
5,random_event,space,7.60894179344
6,end_of_block,space,5.82362890244
7,random_event,space,4.60564088821
8,end_of_block,space,6.00702404976
9,random_event,space,4.83926892281
10,end_of_block,space,5.30643892288
11,random_event,space,4.12186598778
12,end_of_block,space,5.2397840023
13,random_event,space,2.23652410507
14,end_of_block,space,4.03842592239
15,random_event,space,3.38764405251
16,end_of_block,space,5.70672106743
17,random_event,space,5.99046897888
18,end_of_block,space,3.48779201508
19,random_event,space,6.12396216393
20,end_of_block,space,5.10618805885
21,random_event,space,3.70485806465
22,end_of_block,space,3.48775601387
23,random_event,space,2.11963605881
24,end_of_block,space,3.57123589516
25,random_event,space,3.95500588417
26,end_of_block,space,8.46018195152
27,random_event,space,1.60233688354
28,end_of_block,space,7.79241585732
29,random_event,space,3.72135305405
30,end_of_block,space,2.57014894485
31,random_event,space,0.701263189316
32,end_of_block,space,2.2031390667
33,random_event,space,0.751288890839
34,end_of_block,space,2.75372982025
35,random_event,space,1.33529901505
36,end_of_block,space,2.03639912605
37,end_of_experiment,space,5.32293701172
