,accuracy,better_option_left,block_number,choice_key,reference_IV,reward_IV,rt,running_score_block,running_score_experiment,trial,trial_block,reference_block,reward_trial_better_option,reward_trial_worse_option
307,1.0,False,16,p,++,++,0.484467983246,176.6,902.6,308,8,121.0,7.2,6.8
308,1.0,False,16,p,++,++,0.434545993805,183.9,909.9,309,9,121.0,7.3,3.5
309,1.0,False,16,p,++,++,0.501199007034,190.1,916.1,310,10,121.0,6.2,3.2
310,1.0,False,16,p,++,++,0.484352111816,197.3,923.3,311,11,121.0,7.2,4.4
311,1.0,False,16,p,++,++,0.384510993958,202.8,928.8,312,12,121.0,5.5,5.8
312,0.0,False,16,q,++,++,0.251024961472,207.1,933.1,313,13,121.0,7.0,4.3
313,1.0,False,16,p,++,++,0.267559051514,214.8,940.8,314,14,121.0,7.7,5.6
314,1.0,False,16,p,++,++,0.401142835617,223.5,949.5,315,15,121.0,8.7,5.0
315,1.0,False,16,p,++,++,0.584628105164,231.0,957.0,316,16,121.0,7.5,5.9
316,1.0,False,16,p,++,++,0.400988101959,238.1,964.1,317,17,121.0,7.1,4.3
317,1.0,False,16,p,++,++,0.584618091583,243.6,969.6,318,18,121.0,5.5,5.4
318,1.0,False,16,p,++,++,0.300885915756,251.8,977.8,319,19,121.0,8.2,6.9
319,1.0,False,16,p,++,++,0.38432598114,0.0,1026.0,320,20,121.0,6.6,3.0
